Species,Scientific,English,Diet-Inv,Diet-Vert,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,ForagingLocation,BodyMass-Value
mihe,Myzomela rubratra,Micronesian Myzomela,40,0,0,60,0,0,mid,14
brwe,Zosterops conspicillatus,Bridled White-eye,60,0,20,20,0,0,up,7.9
gowe,Cleptornis marchei,Golden White-eye,30,0,60,10,0,0,mid,20.2
timo,Monarcha takatsukasae,Tinian Monarch,100,0,0,0,0,0,low,36
rufa,Rhipidura rufifrons,Rufous Fantail,100,0,0,0,0,0,low,10.08
mist,Aplonis opaca,Micronesian Starling,30,10,60,0,0,0,up,83.4
cokf,Todiramphus chloris,Collared Kingfisher,20,80,0,0,0,0,low,66.09
mafd,Ptilinopus roseicapilla,Mariana Fruit-dove,0,0,90,0,0,10,up,90.4
wtgd,Gallicolumba xanthonura,White-throated Ground-dove,0,0,60,0,30,10,low,110.62
bldr,Dicrurus macrocercus,Black Drongo,60,20,0,20,0,0,mid,48.3
chic,Gallus gallus,Red Junglefowl,30,0,20,0,20,30,low,751.72
iscd,Streptopelia bitorquata,Island Collared-dove,0,0,0,0,100,0,low,153
