"","spp","Predicted","SE","lower","upper","point"
"1","apop",0.999999682516959,0.000123637917218771,0,1,"Cha"
"2","apop",0.999999682516959,0.000123637917218771,0,1,"Chb"
"3","apop",0.999999682516959,0.000123637917218771,0,1,"Chc"
"4","apop",0.999999682516959,0.000123637917218771,0,1,"Fa"
"5","apop",0.999999682516959,0.000123637917218771,0,1,"Fb"
"6","apop",0.999999682516959,0.000123637917218771,0,1,"Fc"
"7","apop",0.999999682516959,0.000123637917218771,0,1,"Ga"
"8","apop",0.999999682516959,0.000123637917218771,0,1,"Gb"
"9","apop",0.999999682516959,0.000123637917218771,0,1,"Gc"
"10","apop",0.999999682516959,0.000123637917218771,0,1,"Ia"
"11","apop",0.999999682516959,0.000123637917218771,0,1,"Ib"
"12","apop",0.999999682516959,0.000123637917218771,0,1,"Ic"
"13","apop",0.999999682516959,0.000123637917218771,0,1,"Ja"
"14","apop",0.999999682516959,0.000123637917218771,0,1,"Jb"
"15","apop",0.999999682516959,0.000123637917218771,0,1,"Jc"
"16","apop",0.999999682516959,0.000123637917218771,0,1,"Lsa"
"17","apop",0.999999682516959,0.000123637917218771,0,1,"Lsb"
"18","apop",0.999999682516959,0.000123637917218771,0,1,"Lsc"
"19","apop",0.999999682516959,0.000123637917218771,0,1,"Lta"
"20","apop",0.999999682516959,0.000123637917218771,0,1,"Ltb"
"21","apop",0.999999682516959,0.000123637917218771,0,1,"Ltc"
"22","apop",0.999999682516959,0.000123637917218771,0,1,"Ma"
"23","apop",0.999999682516959,0.000123637917218771,0,1,"Mb"
"24","apop",0.999999682516959,0.000123637917218771,0,1,"Mc"
"25","apop",0.999999682516959,0.000123637917218771,0,1,"Pa"
"26","apop",0.999999682516959,0.000123637917218771,0,1,"Pb"
"27","apop",0.999999682516959,0.000123637917218771,0,1,"Pc"
"28","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Fa"
"29","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Fb"
"30","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Fc"
"31","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Lta"
"32","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Ltb"
"33","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Ltc"
"34","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Ma"
"35","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Mb"
"36","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Mc"
"37","coku",0.107529418471939,0.169214113610612,0.00378790385933998,0.792438830183459,"Ga"
"38","coku",0.107529418471939,0.169214113610612,0.00378790385933998,0.792438830183459,"Gb"
"39","coku",0.107529418471939,0.169214113610612,0.00378790385933998,0.792438830183459,"Gc"
"40","coku",0.107529418471939,0.169214113610612,0.00378790385933998,0.792438830183459,"Ia"
"41","coku",0.107529418471939,0.169214113610612,0.00378790385933998,0.792438830183459,"Ib"
"42","coku",0.107529418471939,0.169214113610612,0.00378790385933998,0.792438830183459,"Ic"
"43","coku",0.107529418471939,0.169214113610612,0.00378790385933998,0.792438830183459,"Pa"
"44","coku",0.107529418471939,0.169214113610612,0.00378790385933998,0.792438830183459,"Pb"
"45","coku",0.107529418471939,0.169214113610612,0.00378790385933998,0.792438830183459,"Pc"
"46","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Ga"
"47","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Gb"
"48","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Gc"
"49","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Ia"
"50","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Ib"
"51","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Ic"
"52","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Pa"
"53","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Pb"
"54","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Pc"
"55","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Cha"
"56","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Chb"
"57","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Chc"
"58","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Fa"
"59","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Fb"
"60","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Fc"
"61","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ga"
"62","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Gb"
"63","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Gc"
"64","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ia"
"65","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ib"
"66","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ic"
"67","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ja"
"68","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Jb"
"69","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Jc"
"70","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Lsa"
"71","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Lsb"
